Area Name,Year,Jobs,% Change from 2005,Earnings Per Worker,Establishments
United States,2005,14190909.18,0,62205.78286,369171.1704
United States,2006,14111207.69,-0.005616377,64485.00348,366556.2918
United States,2007,13833021.37,-0.025219512,67212.91361,364664.0311
United States,2008,13382696.08,-0.056952877,68520.07624,363283.0266
United States,2009,11810371.65,-0.167750882,69393.02967,354402.0162
United States,2010,11487496.72,-0.190503119,72386.16923,345695.0182
United States,2011,11701496.59,-0.175423051,74022.4235,340355
United States,2012,11904944.74,-0.161086539,75637.72512,337517
United States,2013,11994921.82,-0.154746066,76330.85319,337567
United States,2014,12156536.6,-0.143357452,78507.02844,340767
United States,2015,12291675.95,-0.133834499,80187.90129,343599
United States,2016,12296697.2,-0.133480664,80814.23063,346810
United States,2017,12406757.08,-0.125725003,83405.40603,349829
United States,2018,12578175.44,-0.113645554,85111.5203,350139.75
United States,2019,12664193.43,-0.107584069,,
United States,2020,12708358.53,-0.104471858,,
United States,2021,12723168.02,-0.103428268,,
United States,2022,12716225.92,-0.103917461,,
United States,2023,12651827.01,-0.108455501,,
United States,2024,12635873.45,-0.109579711,,
Georgia,2005,449810.2738,0,52299.34737,10159.45906
Georgia,2006,447908.7891,-0.004227304,54549.75269,10105.9745
Georgia,2007,430962.5423,-0.041901514,56350.50073,10112.00055
Georgia,2008,408385.7919,-0.092093232,57876.24326,10017.00049
Georgia,2009,358065.4812,-0.203963311,59485.31893,10117.00016
Georgia,2010,343110.4445,-0.237210743,62471.00122,9681.000281
Georgia,2011,349045.7464,-0.22401562,64262.79666,9546
Georgia,2012,351857.5094,-0.217764622,65318.3635,9393
Georgia,2013,355501.5136,-0.20966342,67215.59792,9427
Georgia,2014,364735.8304,-0.18913406,68819.21461,9366
Georgia,2015,375415.7629,-0.165390866,69251.72583,9800
Georgia,2016,385902.5111,-0.142077152,70113.50672,10222
Georgia,2017,395915.73,-0.119816169,71746.22766,9907
Georgia,2018,404061.2308,-0.101707421,73241.85792,9828.75
Georgia,2019,412303.4796,-0.083383587,,
Georgia,2020,418033.7884,-0.070644197,,
Georgia,2021,422005.9919,-0.061813354,,
Georgia,2022,424678.9784,-0.055870879,,
Georgia,2023,423926.4851,-0.057543792,,
Georgia,2024,425678.1362,-0.053649592,,
Alabama,2005,297853.1493,0,51158.37157,5800.43752
Alabama,2006,302801.5634,0.016613603,53004.87104,5664.626173
Alabama,2007,296134.6502,-0.005769619,54805.04249,5680.000249
Alabama,2008,284126.9089,-0.046083919,56854.72936,5656.000044
Alabama,2009,247543.7357,-0.168906771,58199.0649,5354.000095
Alabama,2010,236323.2992,-0.206577806,61038.16391,5197.000016
Alabama,2011,237325.9494,-0.203211549,61766.11314,5115
Alabama,2012,243354.4061,-0.182971855,62550.79948,5078
Alabama,2013,249156.0074,-0.163493796,63579.94616,5019
Alabama,2014,252821.3395,-0.151187959,66117.77361,5054
Alabama,2015,257838.3626,-0.134344011,67104.50193,5192
Alabama,2016,260475.5179,-0.125490133,67791.69887,5341
Alabama,2017,263486.6447,-0.115380699,69384.46042,5509
Alabama,2018,265716.8166,-0.107893211,71015.47199,5535.25
Alabama,2019,268452.4666,-0.098708651,,
Alabama,2020,270099.0706,-0.09318041,,
Alabama,2021,270982.5294,-0.090214322,,
Alabama,2022,271301.1593,-0.089144567,,
Alabama,2023,270126.4945,-0.093088339,,
Alabama,2024,270132.7698,-0.09306727,,
Florida,2005,399290.6802,,55283.32399,16801.71593
Florida,2006,402354.6534,,57018.08019,16992.35134
Florida,2007,388283.451,,59831.04002,17126.00066
Florida,2008,370779.6892,,61652.68998,18203.00064
Florida,2009,323856.7884,,63505.29824,17855.00032
Florida,2010,307499.4882,,66190.47123,17841.0012
Florida,2011,311262.7615,,65620.28414,18114
Florida,2012,316763.4437,,66890.9163,18449
Florida,2013,321961.8228,,67937.35101,18855
Florida,2014,331059.2094,,69405.34968,19499
Florida,2015,342379.673,,72241.49451,19811
Florida,2016,354863.2622,,72449.59921,20554
Florida,2017,363136.7779,,74425.49531,20759
Florida,2018,368685.4141,,76685.83367,20561.25
Florida,2019,373780.6006,,,
Florida,2020,376985.8365,,,
Florida,2021,378870.9279,,,
Florida,2022,379783.0122,,,
Florida,2023,378150.143,,,
Florida,2024,378484.4385,,,
Mississippi,2005,178406.8809,,44273.72948,2974.842376
Mississippi,2006,175741.6234,,45364.95996,2940.45383
Mississippi,2007,169429.0367,,47601.47667,2906.000006
Mississippi,2008,159840.189,,49311.62137,2849.000006
Mississippi,2009,141130.5252,,50511.17397,2755.000004
Mississippi,2010,135956.4884,,51630.35899,2626.000005
Mississippi,2011,135251.5933,,52762.58853,2581
Mississippi,2012,136877.8278,,54865.89135,2496
Mississippi,2013,136839.369,,55458.63992,2478
Mississippi,2014,139534.1626,,57502.2495,2464
Mississippi,2015,141754.0011,,58295.1786,2430
Mississippi,2016,143117.3007,,59369.60123,2479
Mississippi,2017,144047.2158,,61048.17024,2459
Mississippi,2018,144491.5747,,62163.6858,2433.5
Mississippi,2019,145489.6337,,,
Mississippi,2020,145986.5433,,,
Mississippi,2021,146132.5522,,,
Mississippi,2022,146019.1106,,,
Mississippi,2023,145220.8648,,,
Mississippi,2024,144985.4903,,,
Tennessee,2005,408347.3242,,54152.15144,7391.97133
Tennessee,2006,399278.4156,,55965.61056,7383.35923
Tennessee,2007,380076.3179,,58503.8735,7371.000834
Tennessee,2008,360283.6268,,61049.84984,7289.001151
Tennessee,2009,309368.5703,,61378.93443,7044.000815
Tennessee,2010,298327.1295,,65038.78496,6713.000407
Tennessee,2011,303781.3462,,65904.35661,6477
Tennessee,2012,313529.5468,,68753.80113,6393
Tennessee,2013,318540.5254,,68704.00449,6301
Tennessee,2014,324837.0136,,70040.17201,6377
Tennessee,2015,332380.8716,,71215.71888,6536
Tennessee,2016,342571.6935,,72641.81278,6703
Tennessee,2017,348416.5745,,74466.24728,6931
Tennessee,2018,349583.542,,75026.70971,6987.75
Tennessee,2019,355974.5254,,,
Tennessee,2020,360347.8725,,,
Tennessee,2021,363307.7233,,,
Tennessee,2022,365221.6952,,,
Tennessee,2023,364366.9834,,,
Tennessee,2024,365727.2016,,,
North Carolina,2005,569169.8462,,53641.23425,10866.01947
North Carolina,2006,553500.4605,,56121.18928,10904.59519
North Carolina,2007,538140.6313,,58912.84325,10740.0022
North Carolina,2008,515438.5759,,59851.01173,10695.00047
North Carolina,2009,448406.7495,,61618.66743,10533.00013
North Carolina,2010,431622.2621,,64314.74598,10439.00026
North Carolina,2011,434767.3661,,65339.32815,10361
North Carolina,2012,439618.3161,,66336.92924,10437
North Carolina,2013,442518.8348,,67639.35469,10330
North Carolina,2014,448714.8033,,69481.46699,10423
North Carolina,2015,461030.182,,70738.59402,10478
North Carolina,2016,464585.5145,,70111.46105,10392
North Carolina,2017,467305.8896,,72348.96323,10377
North Carolina,2018,472432.9299,,73802.48857,10287.75
North Carolina,2019,475319.5006,,,
North Carolina,2020,476435.6723,,,
North Carolina,2021,476316.9934,,,
North Carolina,2022,475289.7316,,,
North Carolina,2023,471876.5872,,,
North Carolina,2024,470444.4223,,,
South Carolina,2005,262718.8053,,53349.57052,5026.167879
South Carolina,2006,253826.6332,,54834.90564,5322.886916
South Carolina,2007,249451.6134,,57254.94222,4949.000991
South Carolina,2008,242175.7462,,59308.96767,5222.001322
South Carolina,2009,213837.3309,,59728.83886,5061.000619
South Carolina,2010,207802.6143,,62434.74295,4848.00033
South Carolina,2011,215112.5299,,64756.74568,4936
South Carolina,2012,220084.6397,,65815.54926,4940
South Carolina,2013,224511.4897,,66927.88212,5167
South Carolina,2014,230153.3625,,69386.85694,5324
South Carolina,2015,235854.9564,,70905.3383,5463
South Carolina,2016,238102.4215,,71630.62347,5696
South Carolina,2017,240456.4759,,73456.11552,5993
South Carolina,2018,246836.423,,73850.6867,6178.25
South Carolina,2019,251816.9147,,,
South Carolina,2020,255219.6733,,,
South Carolina,2021,257518.8282,,,
South Carolina,2022,259003.081,,,
South Carolina,2023,258345.4622,,,
South Carolina,2024,259302.9365,,,
