Country,Port,Latitude,Longitude,2014_Containers,2015_Containers,2016_Containers,2017_Containers,2018_Containers,Containers_2014-2018
Algeria,Tenes,36.5081,1.3064,15.0,5.0,0.0,0.0,0.0,20.0
Antigua and Barbuda,St. John's,17.1243,-61.8486,897.0,0.0,0.0,0.0,0.0,897.0
Argentina,Buenos Aires,-34.613,-58.377,1437.0,1120.0,1305.0,1143.0,487.0,5492.0
Argentina,Rosario,-32.951,-60.666,2.0,1.0,10.0,2.0,2.0,17.0
Argentina,San Lorenzo,-32.747911,-60.734498,1.0,1.0,1.0,2.0,0.0,5.0
Argentina,Ushuaia,-54.8,-68.3,1.0,1.0,1.0,0.0,0.0,3.0
Australia,Adelaide,-34.9329,138.5998,1.0,2.0,3.0,0.0,2.0,8.0
Australia,Bell Bay,-41.13308,146.858978,4.0,0.0,18.0,0.0,0.0,22.0
Australia,Brisbane,-27.469,153.0235,1.0,1.0,4.0,506.0,332.0,844.0
Australia,Fremantle,-32.05714,115.743172,5.0,2.0,4.0,15.0,2.0,28.0
Australia,Port Kembla,-34.486659,150.902519,1.0,2.0,1.0,26.0,1.0,31.0
Australia,Sydney,-33.868,151.21,618.0,423.0,365.0,355.0,320.0,2081.0
Australia,Yarraville,-37.817494,144.892159,1865.0,1641.0,1539.0,1491.0,899.0,7435.0
Bahamas,South Riding Point,26.625854,-78.230118,18006.0,8520.0,5692.0,12183.0,7271.0,51672.0
Bahamas,Whale Cay,25.403052,-77.793935,14.0,3.0,0.0,1.0,3.0,21.0
Bangladesh,Chittagong,22.3167,91.8167,122.0,246.0,825.0,1234.0,577.0,3004.0
Barbados,Bridgetown,13.0961,-59.6083,2043.0,33.0,1.0,3.0,5.0,2085.0
Belgium,Anvers,51.2206,4.3997,32953.0,16664.0,31764.0,29229.0,12447.0,123057.0
Belgium,Ghent,51.05,3.7167,1.0,0.0,0.0,0.0,0.0,1.0
Belgium,Zeebrugge,51.319737,3.208365,5.0,12.0,12.0,9.0,284.0,322.0
Belgium,Zwyndrecht,51.215714,4.336288,1.0,60.0,1.0,2.0,1.0,65.0
Benin,Cotonou,6.3519,2.4326,319.0,28.0,1.0,0.0,0.0,348.0
Bermuda,Freeport,0.0,0.0,48.0,23.0,4.0,28.0,17.0,120.0
Brazil,Itajay,-26.912541,-48.667283,694.0,164.0,94.0,5.0,3.0,960.0
Brazil,Maceio,-9.6477,-35.7339,1.0,1.0,1.0,0.0,0.0,3.0
Brazil,Munguba,-0.91626,-52.44744,1.0,0.0,0.0,0.0,0.0,1.0
Brazil,Natal,-5.8054,-35.2081,24.0,0.0,0.0,0.0,0.0,24.0
Brazil,Paranagua,-25.5238,-48.518,6.0,27.0,17.0,17.0,25.0,92.0
Brazil,Port do Pecem,-3.552118,-38.831756,377.0,3.0,22.0,30.0,11.0,443.0
Brazil,Portocel,-19.84013,-40.057651,619.0,657.0,776.0,418.0,192.0,2662.0
Brazil,Recife,-8.0642,-34.8782,1.0,1.0,1.0,1.0,0.0,4.0
Brazil,Rio de Janeiro,-22.911,-43.2094,1093.0,29.0,108.0,8.0,691.0,1929.0
Brazil,Rio Grande,-32.0334,-52.0991,323.0,761.0,455.0,210.0,203.0,1952.0
Brazil,Salvador,-12.9822,-38.4813,2373.0,1973.0,1827.0,1813.0,658.0,8644.0
Brazil,Santa Clara,-2.424854,-54.714204,2.0,0.0,0.0,0.0,0.0,2.0
Brazil,Sao Luiz de Maranhao,-2.539365,-44.286963,1.0,0.0,1.0,0.0,0.0,2.0
